route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M1,weekday,WD_T267,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T268,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T269,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T270,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T271,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T272,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T273,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T274,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T275,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T276,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T277,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T278,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T279,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T280,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T281,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T282,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T283,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T284,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T285,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T286,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekend,WE_T002,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T003,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T004,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T005,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T006,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T007,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T008,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T009,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T010,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T011,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T012,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T013,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T014,Lebak Bulus BSI,0,shape_M1_0
M1,weekend,WE_T015,Lebak Bulus BSI,0,shape_M1_0
