shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_M1_0,-6.2892542,106.7749374,191,14615.805786616962
shape_M1_1,-6.2892542,106.7749374,0,0.0
shape_M1_1,-6.2892712,106.7758229,1,98.00970703035946
shape_M1_1,-6.2892693,106.7760707,2,125.4326954776134
shape_M1_1,-6.2892814,106.7763224,3,153.31859453448396
shape_M1_1,-6.289185,106.7769335,4,221.7797696147266
shape_M1_1,-6.289166,106.7772267,5,254.29403236025252
shape_M1_1,-6.2891662,106.7774632,6,280.4657629975987
shape_M1_1,-6.2891885,106.7777173,7,308.6931002812394
shape_M1_1,-6.2892318,106.7779414,8,333.9507412351981
shape_M1_1,-6.2893198,106.7782452,9,368.95045771051343
shape_M1_1,-6.2894663,106.7785706,10,408.43729905385203
shape_M1_1,-6.2896587,106.7788519,11,446.1443923871689
shape_M1_1,-6.2899036,106.7792491,12,497.7744218388723
shape_M1_1,-6.2901261,106.7795949,13,543.2707114099019
shape_M1_1,-6.2904355,106.7800927,14,608.1211374978578
shape_M1_1,-6.2907081,106.7806277,15,674.5598811156281
shape_M1_1,-6.290882,106.7811012,16,730.3767494163513
shape_M1_1,-6.2910723,106.7816684,17,796.5790975244748
shape_M1_1,-6.2913099,106.7824356,18,885.453045328049
shape_M1_1,-6.2915376,106.7832296,19,976.8566392164352
shape_M1_1,-6.2917809,106.7840581,20,1072.4076014471834
shape_M1_1,-6.2920609,106.7849204,21,1172.7308506354611
shape_M1_1,-6.2922524,106.7855702,22,1247.6934680701654
shape_M1_1,-6.292363,106.7860848,23,1305.939280057079
shape_M1_1,-6.2924164,106.7865146,24,1353.8672956870375
shape_M1_1,-6.2924345,106.7874175,25,1453.8045666320493
shape_M1_1,-6.2924629,106.790543,26,1799.6950036762616
shape_M1_1,-6.2924711,106.7924632,27,2012.1916815638624
shape_M1_1,-6.2924853,106.793627,28,2140.9907489646657
shape_M1_1,-6.292451,106.7939048,29,2171.9660853730193
shape_M1_1,-6.292343,106.7941019,30,2196.8341449954432
shape_M1_1,-6.2922604,106.7943017,31,2220.7575079299845
shape_M1_1,-6.2921577,106.7944694,32,2242.515690519055
shape_M1_1,-6.2920311,106.7946397,33,2265.9936420155013
shape_M1_1,-6.2918698,106.7947899,34,2290.376423475118
shape_M1_1,-6.2916925,106.7949267,35,2315.1491946591254
shape_M1_1,-6.2914885,106.7950313,36,2340.5071667323755
shape_M1_1,-6.2912806,106.7951131,37,2365.218097859632
shape_M1_1,-6.2910833,106.7951614,38,2387.684056862041
shape_M1_1,-6.290854,106.7951922,39,2413.2720564934584
shape_M1_1,-6.2897543,106.7953062,40,2535.54851412336
shape_M1_1,-6.289329,106.795337,41,2582.7089038884137
shape_M1_1,-6.2888705,106.7953384,42,2633.418031383891
shape_M1_1,-6.2883426,106.795325,43,2691.821206840538
shape_M1_1,-6.2880322,106.7953703,44,2726.514722818958
shape_M1_1,-6.2878769,106.7954167,45,2744.4416120200613
shape_M1_1,-6.2877277,106.7954357,46,2761.0761596390275
shape_M1_1,-6.287582,106.7954642,47,2777.495946561727
shape_M1_1,-6.2874051,106.7954995,48,2797.446805215446
shape_M1_1,-6.2866175,106.7956696,49,2886.5640460155137
shape_M1_1,-6.2860123,106.7957751,50,2954.5081801046294
shape_M1_1,-6.2854603,106.7958476,51,3016.082879799704
shape_M1_1,-6.2847708,106.7959307,52,3092.892283361222
shape_M1_1,-6.2841352,106.7959796,53,3163.3959657372225
shape_M1_1,-6.2823792,106.7960836,54,3357.945694598071
shape_M1_1,-6.2821011,106.7961093,55,3388.8340424788244
shape_M1_1,-6.2818209,106.7961692,56,3420.5244789803464
shape_M1_1,-6.2810617,106.7963824,57,3507.7419212077893
shape_M1_1,-6.2807771,106.7964684,58,3540.625314786291
shape_M1_1,-6.2804974,106.7965644,59,3573.332887884689
shape_M1_1,-6.2803536,106.7966283,60,3590.7380846524275
shape_M1_1,-6.2796151,106.7969646,61,3680.4938519603434
shape_M1_1,-6.279414,106.7970025,62,3703.1270138238724
shape_M1_1,-6.2791808,106.7970716,63,3730.0281109882635
shape_M1_1,-6.2788387,106.7971668,64,3769.3029216806603
shape_M1_1,-6.2783627,106.7973012,65,3824.008061603491
shape_M1_1,-6.2776165,106.7975158,66,3909.885028888166
shape_M1_1,-6.2772552,106.7976113,67,3951.217903070558
shape_M1_1,-6.2770032,106.7976605,68,3979.6153278669913
shape_M1_1,-6.27673,106.7977026,69,4010.187645972669
shape_M1_1,-6.2765666,106.7977148,70,4028.3096342382096
shape_M1_1,-6.2763677,106.7977179,71,4050.310143086816
shape_M1_1,-6.2748893,106.7976899,72,4213.846774223489
shape_M1_1,-6.2740178,106.7976542,73,4310.313384367316
shape_M1_1,-6.2732061,106.7976291,74,4400.128290529671
shape_M1_1,-6.2728482,106.7976148,75,4439.742735648788
shape_M1_1,-6.2718347,106.7975569,76,4552.016228834508
shape_M1_1,-6.2701937,106.7974452,77,4733.927091941034
shape_M1_1,-6.2700099,106.7974683,78,4754.415014543923
shape_M1_1,-6.2696841,106.7974411,79,4790.573167937098
shape_M1_1,-6.2682515,106.7973318,80,4949.4760676039205
shape_M1_1,-6.2676417,106.797309,81,5016.965545369637
shape_M1_1,-6.2674231,106.7973107,82,5041.142867946087
shape_M1_1,-6.2666958,106.7973445,83,5121.667280614211
shape_M1_1,-6.2658742,106.7973902,84,5212.6747398102825
shape_M1_1,-6.2654988,106.7974004,85,5254.208343791746
shape_M1_1,-6.2651621,106.7973946,86,5291.452017221089
shape_M1_1,-6.2647055,106.797384,87,5341.9644089494595
shape_M1_1,-6.2645003,106.7973678,88,5364.729698512862
shape_M1_1,-6.2643021,106.7973341,89,5386.965110471043
shape_M1_1,-6.2639376,106.7972424,90,5428.535612730653
shape_M1_1,-6.2631778,106.7970055,91,5516.562408398684
shape_M1_1,-6.2623132,106.7967414,92,5616.552010004109
shape_M1_1,-6.2620431,106.7966721,93,5647.393158146245
shape_M1_1,-6.2617505,106.7966363,94,5679.995570268253
shape_M1_1,-6.2615446,106.7965879,95,5703.389045170903
shape_M1_1,-6.2612338,106.7965991,96,5737.78503522697
shape_M1_1,-6.260169,106.7966999,97,5856.07625862994
shape_M1_1,-6.2578094,106.7969155,98,6118.13025203002
shape_M1_1,-6.2573577,106.7969569,99,6168.296733944036
shape_M1_1,-6.2567725,106.7970155,100,6233.342405536869
shape_M1_1,-6.2557819,106.7971191,101,6343.498438968862
shape_M1_1,-6.2544778,106.7972525,102,6488.48206238179
shape_M1_1,-6.2534193,106.7973309,103,6605.870447337781
shape_M1_1,-6.251097,106.7974511,104,6863.054916647778
shape_M1_1,-6.2497681,106.7975182,105,7010.21520783246
shape_M1_1,-6.2494992,106.7975433,106,7040.084285608774
shape_M1_1,-6.2491084,106.7975865,107,7083.569354443726
shape_M1_1,-6.24777,106.7977667,108,7232.930264501157
shape_M1_1,-6.2467165,106.7979004,109,7350.380392472723
shape_M1_1,-6.2464296,106.7979299,110,7382.2782953189935
shape_M1_1,-6.2457232,106.7980732,111,7461.997733749719
shape_M1_1,-6.2454225,106.7981158,112,7495.586887254885
shape_M1_1,-6.2444225,106.7981203,113,7606.1853621714945
shape_M1_1,-6.243825,106.7981231,114,7672.268005755729
shape_M1_1,-6.2435848,106.7981264,115,7698.83599944267
shape_M1_1,-6.2434484,106.7981295,116,7713.925378699618
shape_M1_1,-6.2432226,106.7981311,117,7738.898887681839
shape_M1_1,-6.2430451,106.7981468,118,7758.606664782017
shape_M1_1,-6.2426824,106.7982092,119,7799.310460125649
shape_M1_1,-6.2422554,106.7983404,120,7848.717435393485
shape_M1_1,-6.2420328,106.7983916,121,7873.980115449068
shape_M1_1,-6.2417164,106.7984287,122,7909.2131909427735
shape_M1_1,-6.239893,106.7984195,123,8110.878979659271
shape_M1_1,-6.2387703,106.7984239,124,8235.047578993372
shape_M1_1,-6.2379225,106.7984312,125,8328.815489677512
shape_M1_1,-6.2366204,106.7984322,126,8472.824331267735
shape_M1_1,-6.2366177,106.7984725,127,8477.294519179364
shape_M1_1,-6.2352631,106.7984807,128,8627.112423959936
shape_M1_1,-6.2336668,106.7984838,129,8803.65928147053
shape_M1_1,-6.2330242,106.7984838,130,8874.729125446045
shape_M1_1,-6.2322045,106.7984892,131,8965.38772420238
shape_M1_1,-6.2317614,106.7985177,132,9014.494806780362
shape_M1_1,-6.2313031,106.7985941,133,9065.882015113539
shape_M1_1,-6.2308629,106.7987036,134,9116.052674298244
shape_M1_1,-6.2304281,106.7988511,135,9166.835806576839
shape_M1_1,-6.2300402,106.7990153,136,9213.426911643957
shape_M1_1,-6.229753,106.799172,137,9249.61673642194
shape_M1_1,-6.2293868,106.7994126,138,9298.087375002524
shape_M1_1,-6.2291413,106.7995858,139,9331.32395490312
shape_M1_1,-6.2289518,106.7997449,140,9358.69750388058
shape_M1_1,-6.2287471,106.7999633,141,9391.815672045972
shape_M1_1,-6.2281248,106.8006992,142,9498.448114332552
shape_M1_1,-6.2267836,106.8025236,143,9748.995929737008
shape_M1_1,-6.2263787,106.802998,144,9818.004227895946
shape_M1_1,-6.2251923,106.8046475,145,10042.828605497652
shape_M1_1,-6.2241208,106.806058,146,10238.82415879509
shape_M1_1,-6.2224417,106.8086648,147,10581.939212397225
shape_M1_1,-6.2216295,106.809718,148,10729.101809654465
shape_M1_1,-6.2210342,106.8104613,149,10834.471331445315
shape_M1_1,-6.2200197,106.811756,150,11016.468730683993
shape_M1_1,-6.2186186,106.8135192,151,11265.659142748606
shape_M1_1,-6.2177948,106.8145633,152,11412.81714085131
shape_M1_1,-6.2176929,106.814502,153,11425.971756046776
shape_M1_1,-6.2171645,106.8151451,154,11518.067365673227
shape_M1_1,-6.2165262,106.8159581,155,11632.437722758747
shape_M1_1,-6.2158453,106.8168173,156,11753.740715856893
shape_M1_1,-6.2149854,106.8179059,157,11907.239191622337
shape_M1_1,-6.2145132,106.8184151,158,11984.07476845013
shape_M1_1,-6.2141545,106.8187608,159,12039.191480222997
shape_M1_1,-6.21382,106.8190472,160,12087.909786857146
shape_M1_1,-6.2131835,106.8195137,161,12175.211162688905
shape_M1_1,-6.2125762,106.8198886,162,12254.16129559059
shape_M1_1,-6.2115757,106.8204227,163,12379.615895342287
shape_M1_1,-6.210184,106.82113,164,12552.30046085953
shape_M1_1,-6.2095371,106.8214345,165,12631.38734616335
shape_M1_1,-6.2090486,106.8216409,166,12690.046088118714
shape_M1_1,-6.2087904,106.8217268,167,12720.1437981379
shape_M1_1,-6.2083579,106.8218389,168,12769.56068843763
shape_M1_1,-6.2076998,106.821969,169,12843.756415371781
shape_M1_1,-6.20726,106.822027,170,12892.819497319557
shape_M1_1,-6.2065859,106.8220916,171,12967.716128890885
shape_M1_1,-6.2058277,106.8221804,172,13052.14606654704
shape_M1_1,-6.2052165,106.8222389,173,13120.053365007034
shape_M1_1,-6.2046799,106.8222849,174,13179.618603213165
shape_M1_1,-6.2036189,106.8223268,175,13297.055387907782
shape_M1_1,-6.203603,106.8224168,176,13307.17091775619
shape_M1_1,-6.2029376,106.8224826,177,13381.122766291172
shape_M1_1,-6.2021061,106.8225966,178,13473.947156065567
shape_M1_1,-6.2008018,106.8228278,179,13620.453220240948
shape_M1_1,-6.2002074,106.82294,180,13687.355791297665
shape_M1_1,-6.19895,106.8231464,181,13828.286541294849
shape_M1_1,-6.1984637,106.8231881,182,13882.26836511166
shape_M1_1,-6.1980175,106.8231896,183,13931.617780043087
shape_M1_1,-6.1972397,106.8231768,184,14017.653105157002
shape_M1_1,-6.1959949,106.8231554,185,14155.346719994766
shape_M1_1,-6.1958159,106.823094,186,14176.277895632229
shape_M1_1,-6.1955924,106.8230295,187,14202.007008053237
shape_M1_1,-6.1954334,106.8230253,188,14219.598340158564
shape_M1_1,-6.1941739,106.8229844,189,14358.970901102633
shape_M1_1,-6.1933588,106.8229659,190,14449.14312153196
shape_M1_1,-6.1918519,106.8229594,191,14615.80578661697
